anzsco_code,occupation,task_rank,task
3991,Boat Builders and Shipwrights,7,"Building and installing structures such as cabins, machine mountings, propeller supports and rudders"
3991,Boat Builders and Shipwrights,8,Determining repair requirements and procedures
3991,Boat Builders and Shipwrights,9,"May make hull moulds and fabricate and repair vessels using materials such as aluminium, wood, glass, reinforced plastics, carbon fibre, kevlar, fibreglass and concrete"
3992,"Chemical, Gas, Petroleum and Power Plant Operators",1,"Controlling equipment performing continuous and batch processes to process chemicals and natural gas, manufacture refined petroleum products, and blend petroleum base stocks to produce commercial fuels, lubricating oils and asphalt"
3992,"Chemical, Gas, Petroleum and Power Plant Operators",2,"Controlling the preparation, measuring and feeding of raw material and processing agents such as catalysts and filtering media into plant"
3992,"Chemical, Gas, Petroleum and Power Plant Operators",3,Patrolling and inspecting equipment to ensure proper operation and setting operating controls on equipment
3992,"Chemical, Gas, Petroleum and Power Plant Operators",4,Analysing samples and readings and recording test data
3992,"Chemical, Gas, Petroleum and Power Plant Operators",5,"Controlling records of production, quantities transferred and details of blending and pumping operations"
3992,"Chemical, Gas, Petroleum and Power Plant Operators",6,Checking equipment for malfunctions and arranging maintenance
3992,"Chemical, Gas, Petroleum and Power Plant Operators",7,Operating power generation plant controls to produce required load
3992,"Chemical, Gas, Petroleum and Power Plant Operators",8,Monitoring operation of power generation plant and interpreting instrument readings
3992,"Chemical, Gas, Petroleum and Power Plant Operators",9,Authorising procedures to isolate high-voltage and low-voltage electrical apparatus and plant
3992,"Chemical, Gas, Petroleum and Power Plant Operators",10,"Writing reports and maintaining records on equipment performance, instrument readings and switching operations"
3992,"Chemical, Gas, Petroleum and Power Plant Operators",11,Carrying out routine operating tests
3993,"Gallery, Library and Museum Technicians",1,Mounting and preparing objects for display
3993,"Gallery, Library and Museum Technicians",2,"Designing and arranging exhibit furnishings, display cases and display areas"
3993,"Gallery, Library and Museum Technicians",3,Assisting in setting up lighting and display equipment
3993,"Gallery, Library and Museum Technicians",4,"Receiving, shipping, packing and unpacking exhibits"
3993,"Gallery, Library and Museum Technicians",5,Ordering new library materials and maintaining library records and circulation systems
3993,"Gallery, Library and Museum Technicians",6,Cataloguing printed and recorded material
3993,"Gallery, Library and Museum Technicians",7,Entering data into databases and editing computer records
3993,"Gallery, Library and Museum Technicians",8,Operating audiovisual and reprographic equipment
3993,"Gallery, Library and Museum Technicians",9,Searching and verifying bibliographic data
3994,Jewellers,1,Examining designs and specifications for jewellery and precious metal objects
3994,Jewellers,2,"Shaping moulded metal by cutting, filing, beating, turning and bending, using specialised hand and power tools"
3994,Jewellers,3,"Assembling articles by soldering, screwing, riveting and otherwise joining"
3994,Jewellers,4,"Securing precious stones in retaining prongs and ridges, and smoothing and checking final settings"
3994,Jewellers,5,"Engraving designs on ring settings, brooches, bracelets and other articles"
3994,Jewellers,6,"Repairing jewellery by soldering, replacing and rebuilding worn and broken parts"
3994,Jewellers,7,Appraising the quality and value of jewellery
3994,Jewellers,8,"Cutting and dividing stones to approximate final shape, using precision hand and power tools and jigs"
3994,Jewellers,9,"Securing stones and shapes, cutting angles, smoothing and polishing"
3994,Jewellers,10,"Finishing articles using files, emery paper and buffing machines"
3994,Jewellers,11,Restyling old jewellery
3995,Performing Arts Technicians,1,Operating microwave equipment to transmit video information to transmitter sites and receiving video signals from remote locations
3995,Performing Arts Technicians,2,Maintaining and repairing radio and television transmitters and associated equipment
3995,Performing Arts Technicians,3,"Selecting and attaching equipment to cameras, positioning cameras, and following the action of scenes being photographed while adjusting controls"
3995,Performing Arts Technicians,4,"Positioning equipment, such as spotlights, floodlights and cables, and operating lights during filming, broadcasting and stage performances"
3995,Performing Arts Technicians,5,"Applying and retouching make up during shooting and performance, including special effects make up such as scars and wounds"
3995,Performing Arts Technicians,6,"Designing and making musical instruments and instrument parts using specially selected materials and techniques similar to those used in cabinetmaking, metal pipe making, silversmithing and wood carving, and tuning and repairing musical instruments"
3995,Performing Arts Technicians,7,"Setting up and adjusting equipment such as microphones, and operating sound mixing consoles and associated equipment to regulate volume and sound quality"
3995,Performing Arts Technicians,8,"Selecting and setting up television recording, editing and mixing equipment, and adjusting and monitoring their operation"
3996,Signwriters,1,"Conferring with clients and responding to proposals, sketches and written instructions to determine composition of signs"
3996,Signwriters,2,Designing and creating signs and graphics using computer software and signmaking machines
3996,Signwriters,3,"Designing and creating signs by measuring and calculating letter size, preparing the surface, applying background paint using brushes, sprays and rollers, and creating the letters using brushes, stencils, enamel paint and decals"
3996,Signwriters,4,"Designing and creating wall murals, screen prints, gold leaf work and custom vehicle art"
3996,Signwriters,5,"Painting signs and lettering using lacquers, varnishes, paints and other materials"
3996,Signwriters,6,"Painting signs on brick, metal, timber, glass, plastic and other surfaces"
3996,Signwriters,7,Making and erecting three dimensional signs
3996,Signwriters,8,Preparing cost estimates for labour and materials
3996,Signwriters,9,May erect and work on scaffolding
3996,Signwriters,10,May install signs on-site
3999,Other Miscellaneous Technicians and Trades Workers,1,"Swims underwater to undertake tasks such as seafood gathering, research, salvage and construction"
3999,Other Miscellaneous Technicians and Trades Workers,2,Plans the interior design of commercial or residential premises and arranges for decorating work to be done
3999,Other Miscellaneous Technicians and Trades Workers,3,"Interprets optical prescriptions, and fits and services optical appliances such as spectacle frames and lenses"
3999,Other Miscellaneous Technicians and Trades Workers,4,"Operates machines to grind, polish and surface optical lenses to meet prescription requirements, and fits lenses to spectacle frames"
3999,Other Miscellaneous Technicians and Trades Workers,5,Assists photographers in taking and developing photographs
3999,Other Miscellaneous Technicians and Trades Workers,6,"Sets up, adjusts, repairs and troubleshoots machines which manufacture plastics products"
3999,Other Miscellaneous Technicians and Trades Workers,7,Classifies wool to industry standards or market requirements
4111,Ambulance Officers and Paramedics,1,"Attending accidents, emergencies and requests for medical assistance"
4111,Ambulance Officers and Paramedics,2,"Assessing health of patients, determining need for assistance, and assessing specialised needs and factors affecting patients' conditions"
4111,Ambulance Officers and Paramedics,3,Performing therapies and administering drugs according to protocol
4111,Ambulance Officers and Paramedics,4,Resuscitating and defibrillating patients and operating life-support equipment
4111,Ambulance Officers and Paramedics,5,Transporting accident victims to medical facilities
4111,Ambulance Officers and Paramedics,6,Transporting sick and disabled persons to and from medical facilities for specialised treatment and rehabilitation
4111,Ambulance Officers and Paramedics,7,Instructing community groups and essential service workers in first aid
4111,Ambulance Officers and Paramedics,8,Attending public gatherings and sporting events where accidents and other health emergencies may occur
4111,Ambulance Officers and Paramedics,9,"Ensuring that ambulances are adequately maintained and stocked with medical supplies, and that equipment is in good working order"
4111,Ambulance Officers and Paramedics,10,Preparing written reports on the state of patients' injuries and treatment provided
4112,"Dental Hygienists, Technicians and Therapists",1,"Providing educational programs to motivate children, parents and the community in matters relating to oral health"
4112,"Dental Hygienists, Technicians and Therapists",2,Providing fluoride therapy by applying remineralising solutions and desensitising agents
4112,"Dental Hygienists, Technicians and Therapists",3,Removing deposits from teeth
4112,"Dental Hygienists, Technicians and Therapists",4,Applying non-invasive fissure sealants to teeth
4112,"Dental Hygienists, Technicians and Therapists",5,Taking impressions of the mouth
4112,"Dental Hygienists, Technicians and Therapists",6,Taking dental radiographs
4112,"Dental Hygienists, Technicians and Therapists",7,Administering local anaesthesia by infiltration and mandibular nerve block
4112,"Dental Hygienists, Technicians and Therapists",8,Fabricating full and partial dentures
4112,"Dental Hygienists, Technicians and Therapists",9,"Constructing mouth guards, crowns, metal clasps, inlays, bridgework and other aids"
4112,"Dental Hygienists, Technicians and Therapists",10,Repairing and relining denture bases
4113,Diversional Therapists,1,"Planning and implementing leisure activity programs for individuals in health care and in the community to assist in their social development, and promote their sense of wellbeing"
4113,Diversional Therapists,2,Identifying individual needs through task analysis
4113,Diversional Therapists,3,"Evaluating and assessing clients' levels of abilities, interests, needs, strengths and weaknesses, and their ability to carry out a range of tasks and interact with others"
4113,Diversional Therapists,4,Maintaining a knowledge of resources available within a facility and within the community
4113,Diversional Therapists,5,Organising leisure and recreational events
4113,Diversional Therapists,6,Assisting with training and supervising volunteers and staff
4113,Diversional Therapists,7,Providing information on available support resources within the local community
4113,Diversional Therapists,8,Encouraging and supporting clients to take part in activities suited to their particular needs and interests
4113,Diversional Therapists,9,"Adapting programs to suit individual clients' needs, interests, skills and abilities"
4114,Enrolled and Mothercraft Nurses,1,"Assessing, planning and implementing nursing care for patients according to accepted nursing practice and standards"
4114,Enrolled and Mothercraft Nurses,2,"Providing interventions, treatments and therapies such as administering medications, and monitoring responses to treatments and care plans"
4114,Enrolled and Mothercraft Nurses,3,Assisting registered nurses and other team members to coordinate and evaluate care provided
4114,Enrolled and Mothercraft Nurses,4,Promoting and assisting in health education activities for the prevention of ill health
4114,Enrolled and Mothercraft Nurses,5,"Bathing, feeding, changing and settling newborn infants"
4114,Enrolled and Mothercraft Nurses,6,Providing advice and training on infant care to parents of newborn infants
4114,Enrolled and Mothercraft Nurses,7,Providing emotional support to parents of newborn infants
4115,Indigenous Health Workers,1,Maintaining health records and statistics
4115,Indigenous Health Workers,2,"Acting as an advocate in the community they serve, and as a communicator and interpreter on behalf of clients and other health workers"
4115,Indigenous Health Workers,3,"Providing clinical functions, such as case management and follow-up, independently or in consultation with other health care providers"
4115,Indigenous Health Workers,4,Providing health education to individual clients and staff in health facilities
4115,Indigenous Health Workers,5,Providing cultural education to persons outside the cultural community and life skills education to the community they serve
4115,Indigenous Health Workers,6,Providing counselling and referring clients to other health care providers where necessary
4116,Massage Therapists,1,"Massaging the soft tissues of the body, such as muscles, tendons and ligaments, to assist healing"
4116,Massage Therapists,2,Utilising a range of massage techniques to enhance sports performance and prevent injury
4116,Massage Therapists,3,"Administering treatments to promote relaxation, improve circulation and relieve muscle tension"
4116,Massage Therapists,4,Assessing and treating specific soft tissue dysfunction and providing rehabilitation advice
4116,Massage Therapists,5,"Employing other techniques, such as acupressure or shiatsu, and complementary aids, such as infra-red lamps, wet compresses, ice, essential oils and herbal and mineral therapies, to assist recovery"
4116,Massage Therapists,6,Assessing client's physical condition and case history and advising on stretching exercises and relaxation techniques
4117,Welfare Support Workers,1,"Assessing clients' needs and planning, developing and implementing educational, training and support programs"
4117,Welfare Support Workers,2,Interviewing clients and assessing the nature and extent of difficulties
4117,Welfare Support Workers,3,Monitoring and reporting on the progress of clients
4117,Welfare Support Workers,4,Referring clients to agencies that can provide additional help
4117,Welfare Support Workers,5,"Assessing community need and resources for health, welfare, housing, employment, training and other facilities and services"
4117,Welfare Support Workers,6,"Liaising with community groups, welfare agencies, government bodies and private businesses about community issues and promoting awareness of community resources and services"
4117,Welfare Support Workers,7,"Supporting families and providing education and care for children and disabled persons in adult service units, group housing and government institutions"
4117,Welfare Support Workers,8,Supervising offenders on probation and parole
4117,Welfare Support Workers,9,"Assisting young people to solve social, emotional and financial problems"
4117,Welfare Support Workers,10,"Preparing submissions for funding and resources, and reports to government bodies and other agencies"
4211,Child Carers,1,Assisting in the preparation of materials and equipment for children's education and recreational activities
4211,Child Carers,2,Managing children's behaviour and guiding children's social development
4211,Child Carers,3,Preparing and conducting activities for children
4211,Child Carers,4,Entertaining children by reading and playing games
4211,Child Carers,5,Supervising children in recreational activities
4211,Child Carers,6,Supervising the daily routine of children
4211,Child Carers,7,Supervising the hygiene of children
4221,Education Aides,1,"Demonstrating, supervising and participating in activities which enhance the physical, social, emotional and intellectual development of children in schools and preschool centres"
4221,Education Aides,2,Preparing indoor and outdoor areas for learning and recreational activities
4221,Education Aides,3,"Assisting children with intellectual, physical and behavioural difficulties with their academic studies"
4221,Education Aides,4,Assisting children individually to learn social skills
4221,Education Aides,5,"Assisting with preparing teaching aids, and copying and collating written and printed material"
4221,Education Aides,6,Distributing and collecting lesson material
4221,Education Aides,7,"Providing assistance to small groups of aboriginal, torres strait islander and maori students"
4221,Education Aides,8,"Providing home-school liaison and counselling for aboriginal, torres strait islander and maori students and their families"
4231,Aged and Disabled Carers,1,Accompanying aged and disabled persons during daily activities
4231,Aged and Disabled Carers,2,Assisting clients with their mobility
4231,Aged and Disabled Carers,3,Preparing food for clients
4231,Aged and Disabled Carers,4,Arranging social activities
4231,Aged and Disabled Carers,5,Performing housekeeping tasks such as vacuuming and cleaning
4231,Aged and Disabled Carers,6,Assisting in personal hygiene and dressing
4231,Aged and Disabled Carers,7,"Providing companionship, friendship and emotional support"
4231,Aged and Disabled Carers,8,May do shopping and run errands
4231,Aged and Disabled Carers,9,May live in with the person
4232,Dental Assistants,1,Receiving and preparing patients
4232,Dental Assistants,2,"Arranging and handing instruments, medication, and other dental requisites to dental practitioners"
4232,Dental Assistants,3,Preparing dental materials and processing x-rays
4232,Dental Assistants,4,Using suction devices and water sprays
4232,Dental Assistants,5,Performing routine maintenance on equipment
4232,Dental Assistants,6,Sterilising and preventing cross infection of equipment
4232,Dental Assistants,7,May advise patients on dental health education and post-operative care and procedures
4232,Dental Assistants,8,May act as receptionist for dental practitioners
4232,Dental Assistants,9,May perform billing and other clerical tasks
4233,Nursing Support and Personal Care Workers,1,"Assisting patients with their personal care needs such as showering, dressing and eating"
4233,Nursing Support and Personal Care Workers,2,Assisting patients with their mobility and communication needs
4233,Nursing Support and Personal Care Workers,3,Participating in planning the care of individuals
4233,Nursing Support and Personal Care Workers,4,Following therapy plans such as interventions to assist those with dementia and behavioural problems
4233,Nursing Support and Personal Care Workers,5,"Observing and reporting changes in patients' condition, and reporting complaints about care"
4233,Nursing Support and Personal Care Workers,6,"Assisting with rehabilitation exercises, basic treatment and delivering medications"
4233,Nursing Support and Personal Care Workers,7,Providing direct support and assistance to therapists
4234,Special Care Workers,1,Planning and implementing programs of supervision and care for children in residential care
4234,Special Care Workers,2,"Supervising and arranging activities to enhance the physical, social, emotional and intellectual development of children in residential care"
4234,Special Care Workers,3,"Waking children and ensuring they are washed, dressed, fed and ready for educational and recreational activities"
4234,Special Care Workers,4,Supervising children during domestic activities such as eating meals and showering
4234,Special Care Workers,5,"Maintaining discipline, enforcing regulations and behaviour standards, compiling disciplinary reports and assisting in implementing remedial measures"
4234,Special Care Workers,6,Organising refuge accommodation
4234,Special Care Workers,7,Providing emotional support to residents of refuges
4234,Special Care Workers,8,Referring residents of refuges for health and welfare assistance
4234,Special Care Workers,9,Ensuring security of refuge
4311,Bar Attendants and Baristas,1,"Preparing, serving and selling cocktails, mixed drinks, bottled, canned and other alcoholic and non-alcoholic beverages, and a variety of coffee beverages such as lattes, cappuccinos and other espresso-based beverages"
4311,Bar Attendants and Baristas,2,"Cleaning and maintaining bar service areas, coffee-making areas and espresso machines"
4311,Bar Attendants and Baristas,3,Collecting payment for sales and operating cash registers
4311,Bar Attendants and Baristas,4,Promoting services and products
4311,Bar Attendants and Baristas,5,Washing glassware and arranging bottles and glasses
4311,Bar Attendants and Baristas,6,Tapping kegs and attaching supply lines
4311,Bar Attendants and Baristas,7,"Replenishing drink dispensers, shelves and refrigerators"
4311,Bar Attendants and Baristas,8,Selling light snacks
4311,Bar Attendants and Baristas,9,Selecting and grinding coffee
4312,Cafe Workers,1,Preparing and serving food and beverages for consumption on the premises
4312,Cafe Workers,2,Taking customers' food and beverage orders
4312,Cafe Workers,3,"Operating cash registers, accepting payments and preparing sales invoices"
4312,Cafe Workers,4,Clearing away used dishes and cutlery from tables when customers are finished
4312,Cafe Workers,5,Cleaning and preparing tables for use
4312,Cafe Workers,6,"Washing dishes, cutlery and cooking utensils"
4312,Cafe Workers,7,"Cleaning cafe equipment such as coffee grinders, espresso machines and ice makers"
4312,Cafe Workers,8,Participating in stocktakes and assisting in putting away new stock
4312,Cafe Workers,9,Providing backup to other cafe employees
4313,Gaming Workers,1,Ensuring that games operating in the casino pit run smoothly
4313,Gaming Workers,2,Monitoring cash drops to cashiers and chip transactions
4313,Gaming Workers,3,Observing incidents and settling disputes arising at gaming tables
4313,Gaming Workers,4,"Dealing games in accordance with casino rules, policies and procedures and ensuring that bets are placed within the rules of the game"
4313,Gaming Workers,5,Checking that appropriate betting limit signs are in place
4313,Gaming Workers,6,Checking playing cards
4313,Gaming Workers,7,Verifying cash and colour chip change involving larger amounts with the casino gaming inspector
4313,Gaming Workers,8,Advising patrons about the rules and etiquette of games
4313,Gaming Workers,9,Counting the amount of cash chips in the float and entering a closer slip with the corresponding amount in the cash total
4313,Gaming Workers,10,Calculating and paying winning bets
4314,Hotel Service Managers,1,"Determining work requirements and allocating duties to commercial housekeepers, luggage porters and doorpersons"
4314,Hotel Service Managers,2,Conferring with managers to coordinate activities with other organisational units
4314,Hotel Service Managers,3,Maintaining attendance records and rosters
4314,Hotel Service Managers,4,Explaining and enforcing safety regulations
4314,Hotel Service Managers,5,Overseeing the work of the unit and suggesting improvements and changes
4314,Hotel Service Managers,6,Conferring with workers to resolve grievances
4314,Hotel Service Managers,7,May perform front office and hotel reception duties
4315,Waiters,1,Setting and arranging tables
4315,Waiters,2,Greeting customers and presenting them with menus and beverage lists
4315,Waiters,3,Taking orders and relaying them to kitchen and bar staff
4315,Waiters,4,Serving food and beverages
4315,Waiters,5,Opening bottles and pouring beverages
4315,Waiters,6,Clearing tables and returning dishes and cutlery to kitchen
4315,Waiters,7,"Removing empty bottles and used glasses from tables, and refilling and replacing glasses"
4315,Waiters,8,Collecting payments for sales and operating point of sales machines and cash registers
4315,Waiters,9,May recommend wines to complement food
4319,Other Hospitality Workers,1,Prepares service areas by cleaning and laying tables.
4319,Other Hospitality Workers,2,"Removes used plates, cutlery and glassware from tables, wipes up bar areas and tables."
4319,Other Hospitality Workers,3,Empties rubbish containers and ashtrays.
4319,Other Hospitality Workers,4,Washes up spills or sweeps up broken glass.
4319,Other Hospitality Workers,5,Escorts guests or residents to their rooms.
4319,Other Hospitality Workers,6,Assists with baggage.
4319,Other Hospitality Workers,7,Advises guests or residents of in-house facilities and local attractions.
4319,Other Hospitality Workers,8,"Receives and distributes mail, telegrams, packages and messages to rooms."
4319,Other Hospitality Workers,9,Delivers newspapers to rooms and lounges.
4319,Other Hospitality Workers,10,May clean patrons' shoes and arrange cleaning and laundering of clothing.
4319,Other Hospitality Workers,11,Runs errands as directed.
4319,Other Hospitality Workers,12,May clean public areas.
4319,Other Hospitality Workers,13,Greets customers and determines their requirements.
4319,Other Hospitality Workers,14,Checks in garments and other items and issues tracking ticket.
4319,Other Hospitality Workers,15,Answers enquiries on events and may distribute programmes and information.
4319,Other Hospitality Workers,16,May assist with a range of duties involved in the operation of a bar.
4411,Defence Force Members - Other Ranks,1,Guarding airfields and other defence force bases
4411,Defence Force Members - Other Ranks,2,Serving as an infantry soldier
4411,Defence Force Members - Other Ranks,3,"Erecting bridges, building field defences, constructing temporary roads, clearing minefields, repairing airfields and demolishing targets using explosives"
4411,Defence Force Members - Other Ranks,4,Crewing armoured fighting vehicles
4411,Defence Force Members - Other Ranks,5,"Operating artillery, ground and surface-based defence systems, shipboard weapons and other advanced specialist military weapons and equipment"
4411,Defence Force Members - Other Ranks,6,Providing firepower and ground-based air defence
4411,Defence Force Members - Other Ranks,7,"Establishing and maintaining command, control and communications equipment and facilities"
4411,Defence Force Members - Other Ranks,8,"Conducting surveillance, reconnaissance and boarding operations"
4411,Defence Force Members - Other Ranks,9,Maintaining personal arms and ammunition
4412,Fire and Emergency Workers,1,Attending the scene of fires and other emergencies reported to authorities
4412,Fire and Emergency Workers,2,Rescuing and evacuating people stranded or trapped in dangerous situations
4412,Fire and Emergency Workers,3,"Operating pumps, spraying water, foam and chemicals from hoses, portable extinguishers and other appliances to extinguish fires and to disperse or neutralise dangerous substances"
4412,Fire and Emergency Workers,4,Cutting openings in buildings and crashed vehicles to free occupants
4412,Fire and Emergency Workers,5,Maintaining site security systems
4412,Fire and Emergency Workers,6,Administering first aid
4412,Fire and Emergency Workers,7,"Attending and participating in training activities, rescue classes, drills, demonstrations and courses in emergency and fire-fighting techniques"
4412,Fire and Emergency Workers,8,Training recruits in emergency procedures and practices
4412,Fire and Emergency Workers,9,Visiting buildings and potential fire hazards to study access points and locations of hydrants
4412,Fire and Emergency Workers,10,Maintaining tools and equipment
4413,Police,1,"Investigating and prosecuting offences committed in areas such as organised, corporate and computer crime, environmental offences, drug trafficking, fraud, counterfeiting and terrorism"
4413,Police,2,Securing and examining scenes of crimes and accidents to locate and obtain evidence for analysis
4413,Police,3,Protecting witnesses and investigating official corruption
4413,Police,4,Maintaining public order and safety
4413,Police,5,Patrolling assigned areas to minimise potential for public disturbance and crime
4413,Police,6,"Investigating accidents, crimes, minor offences and citizens' complaints, gathering evidence, and pursuing, arresting and interviewing suspected offenders"
4413,Police,7,Testing persons suspected of driving under the influence of alcohol and drugs and issuing infringement notices for traffic offences
4413,Police,8,Directing and re-routing traffic at congested areas
4413,Police,9,Attending community meetings and answering inquiries from the public where necessary
4413,Police,10,Providing advice and assistance to victims of crime and their families
4413,Police,11,Maintaining records and preparing reports
4421,Prison Officers,1,Observing the conduct and behaviour of prisoners to prevent disturbances and escapes
4421,Prison Officers,2,"Inspecting and maintaining the security of locks, window bars, grilles, doors and gates"
4421,Prison Officers,3,"Supervising prisoners during work assignments, recreational periods, sporting activities and meals"
4421,Prison Officers,4,"Assisting with the implementation of education, rehabilitation and other programs organised for prisoners"
4421,Prison Officers,5,"Searching prisoners and cells for weapons, drugs and other contraband items"
4421,Prison Officers,6,"Patrolling assigned areas and reporting breaches of rules, unsatisfactory attitudes and prisoner adjustment problems"
4421,Prison Officers,7,"Requisitioning prisoners' clothing, toiletries, reading material and other allowable items"
4421,Prison Officers,8,"Supervising prisoners in transit between courts, prisons and other facilities"
4422,Security Officers and Guards,1,"Patrolling property and checking doors, windows and gates for unauthorised entry"
4422,Security Officers and Guards,2,"Watching for irregularities such as fire hazards, malfunctions of machines and equipment, lights left on, leaking water pipes and unlocked security doors"
4422,Security Officers and Guards,3,Issuing security passes to authorised visitors and giving directions
4422,Security Officers and Guards,4,"Monitoring alarms and contacting supervisors, police and fire brigades by radio or phone if security is breached or fire is detected"
4422,Security Officers and Guards,5,"Picking up and ensuring the safe delivery of cash, payrolls and valuables"
4422,Security Officers and Guards,6,"Operating coin and currency counting machines, and carrying out cash counting and packaging functions"
4422,Security Officers and Guards,7,Maintaining order at venues where there are large gatherings of people
4422,Security Officers and Guards,8,Conducting investigations for clients and preparing evidence for court proceedings
4422,Security Officers and Guards,9,Detecting and investigating theft and other unlawful acts carried out in retail establishments
4422,Security Officers and Guards,10,Advising clients on security requirements and designing security specifications
4511,Beauty Therapists,1,"Discussing client needs, analysing skin characteristics and advising on suitable skin care, treatments and application of make-up"
4511,Beauty Therapists,2,Applying general cosmetic and corrective make-up
4511,Beauty Therapists,3,"Performing manicures and pedicures including decorative nail art, application of artificial nails, nail repair, and other specialised hand and foot treatments"
4511,Beauty Therapists,4,Performing facial and body treatments such as massages
4511,Beauty Therapists,5,"Treating unwanted hair through waxing, bleaching, tinting, depilation and electrolysis"
4511,Beauty Therapists,6,Evaluating beauty therapy processes and products
4511,Beauty Therapists,7,"Receiving bookings, arranging appointments and maintaining client records"
4511,Beauty Therapists,8,Providing advice on and selling cosmetic products
4512,Driving Instructors,1,"Instructing students under actual driving conditions, and explaining and demonstrating the operation of brakes, clutch, gear selection, automatic transmission, signals and lights"
4512,Driving Instructors,2,Teaching road traffic regulations
4512,Driving Instructors,3,Teaching road craft and road safety
4512,Driving Instructors,4,Advising students when they are ready to undergo driving examination
4512,Driving Instructors,5,May advise on and teach advanced driving techniques required for emergency situations
4512,Driving Instructors,6,May illustrate and explain handling and mechanical operation of motor vehicles and driving techniques using blackboard diagrams and audiovisual aids
4513,Funeral Workers,1,"Interviewing families and associates of the deceased to assist with funeral arrangements such as the selection of coffin, type of service and publication of death notices"
4513,Funeral Workers,2,Advising on funeral costs and welfare provisions
4513,Funeral Workers,3,Collecting bodies from mortuaries
4513,Funeral Workers,4,"Ensuring death certificates have been issued, burial and cremation certificates processed and that other legal requirements are met"
4513,Funeral Workers,5,"Preparing bodies for viewing and burial by washing, draining body fluids, applying padding and cosmetics, dressing bodies and placing them in coffins"
4513,Funeral Workers,6,Liaising with clergy and cemetery and crematorium staff
4513,Funeral Workers,7,"Coordinating the movement of coffins and funeral cars, arranging floral displays and collecting attendance and tribute cards"
4513,Funeral Workers,8,"Arranging the placement of coffins at funeral sites, and placing and adjusting floral displays and lighting"
4513,Funeral Workers,9,Keeping records and accounts of transactions and services performed
4513,Funeral Workers,10,May arrange the construction of memorials and the disposal of ashes
4514,"Gallery, Museum and Tour Guides",1,Meeting and greeting visitors
4514,"Gallery, Museum and Tour Guides",2,Controlling visitors' access to exhibits
4514,"Gallery, Museum and Tour Guides",3,Ensuring safety of collections
4514,"Gallery, Museum and Tour Guides",4,Maintaining attendance records
4514,"Gallery, Museum and Tour Guides",5,Planning and rearranging schedules and itineraries
4514,"Gallery, Museum and Tour Guides",6,"Planning, organising and conducting tours"
4514,"Gallery, Museum and Tour Guides",7,Arranging transportation and accommodation for visitors following planned itineraries
4514,"Gallery, Museum and Tour Guides",8,Arranging entry to places of interest
4514,"Gallery, Museum and Tour Guides",9,"Answering questions, providing commentaries, issuing brochures and tour literature, showing audiovisual presentations, and explaining features and procedures at tour sites"
4514,"Gallery, Museum and Tour Guides",10,May assist with installing and dismantling exhibits
4515,Personal Care Consultants,1,Interviewing clients to work out their needs
4515,Personal Care Consultants,2,"Treating emotional, psychological and physical imbalances of the body using natural techniques and diagnostic methods"
4515,Personal Care Consultants,3,Monitoring and correcting imbalances in the body using muscle testing techniques
4515,Personal Care Consultants,4,Advising clients on dietary requirements and exercise programs
4515,Personal Care Consultants,5,Recording clients' weight and measurements
4515,Personal Care Consultants,6,Instructing clients on the use of exercise equipment
4515,Personal Care Consultants,7,Providing support and counselling
4516,Tourism and Travel Advisers,1,"Determining clients' requirements for travel, accommodation and special interests"
4516,Tourism and Travel Advisers,2,"Suggesting itineraries based on available travel routes and cost, availability and convenience of transport"
4516,Tourism and Travel Advisers,3,"Making and confirming travel and accommodation reservations and informing clients of bus, plane, ship and train connections"
4516,Tourism and Travel Advisers,4,"Notifying clients of travel dates, baggage limits, and medical and visa requirements"
4516,Tourism and Travel Advisers,5,"Providing information on tourist attractions and tour availability, and procedures for dealing with lost and stolen documents"
4516,Tourism and Travel Advisers,6,Assisting with travel clearances
4516,Tourism and Travel Advisers,7,"Collecting payments and issuing clients' itineraries, relevant documentation, tickets for travel and vouchers for accommodation"
4516,Tourism and Travel Advisers,8,"Providing information on travel insurance, relevant government regulations such as customs regulations, and use of credit cards and traveller's cheques"
4516,Tourism and Travel Advisers,9,"Answering inquiries from tourists and offering suggestions about tours, travel routes, accommodation and local customs"
4516,Tourism and Travel Advisers,10,Providing literature and information on local and interstate tours and places of interest
4516,Tourism and Travel Advisers,11,Discussing transport availability and cost
4516,Tourism and Travel Advisers,12,May work in a call centre
4517,Travel Attendants,1,Managing safety and emergency procedures and making public announcements
4517,Travel Attendants,2,Coordinating the sale of goods to passengers and completion of any customs and immigration documentation which may be required
4517,Travel Attendants,3,Conducting safety checks and demonstrations of safety equipment and procedures
4517,Travel Attendants,4,"Assisting passengers in emergency drills, carrying out emergency procedures, assisting and directing passengers in emergencies"
4517,Travel Attendants,5,Checking passengers' tickets and directing them to seats and cabins
4517,Travel Attendants,6,"Tidying aircraft, ship and railway cabins, and receiving and stowing food, equipment and cabin baggage"
4517,Travel Attendants,7,"Operating galleys, preparing and heating food for passengers, and serving refreshments and meals"
4517,Travel Attendants,8,"Distributing reading material, pillows, blankets and other amenities for the comfort of passengers"
4518,Other Personal Service Workers,1,"Conducts civil marriage ceremonies, funerals, commitment ceremonies, namings and other ceremonies, and maintains appropriate records"
4518,Other Personal Service Workers,2,Assists hairdressers or beauty therapists by performing routine tasks in a hairdressing or beauty salon
4521,Fitness Instructors,1,Consulting with various health professionals to develop and design fitness programs
