onet_soc_code,title,job_zone,top_education,top_essential_skills,top_transferable_skills,top_knowledge,top_abilities,hot_technologies,in_demand_technologies,top_career_interests,top_specific_interest_areas,top_tasks,data_source
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",5,Doctoral Degree,Reading Comprehension; Active Listening; Speaking; Critical Thinking; Writing; Learning Strategies,Instructing; Complex Problem Solving; Judgment and Decision Making; Social Perceptiveness; Systems Evaluation; Coordination,Philosophy and Theology; English Language; Education and Training; History and Archeology; Sociology and Anthropology; Law and Government,Oral Expression; Speech Clarity; Written Comprehension; Inductive Reasoning; Oral Comprehension; Written Expression,Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,Learning management system LMS,Social; Investigative; First Interest High-Point,Professional Advising; Social Science; Public Speaking; Religious Activities; Humanities,"Evaluate and grade students' class work, assignments, and papers.; Initiate, facilitate, and moderate classroom discussions.; Prepare and deliver lectures to undergraduate or graduate students and the community on topics such as ethics, logic, and contemporary religious thought.; Compile, administer, and grade examinations, or assign this work to others.; Prepare course materials, such as syllabi, homework assignments, and handouts.",O*NET
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",5,Doctoral Degree,Speaking; Active Listening; Learning Strategies; Reading Comprehension; Critical Thinking; Active Learning,Instructing; Complex Problem Solving; Judgment and Decision Making; Social Perceptiveness; Systems Analysis; Systems Evaluation,English Language; Education and Training; Customer and Personal Service; Psychology; Administration and Management; Mathematics,Oral Expression; Written Comprehension; Oral Comprehension; Speech Clarity; Written Expression; Deductive Reasoning,Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word; Zoom,,Social; Investigative; First Interest High-Point,Social Service; Professional Advising; Public Speaking; Social Science; Teaching/Education,"Evaluate and grade students' class work, laboratory work, projects, assignments, and papers.; Prepare course materials, such as syllabi, homework assignments, and handouts.; Prepare and deliver lectures to undergraduate or graduate students on topics such as food science, nutrition, and child care.; Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.; Initiate, facilitate, and moderate classroom discussions.",O*NET
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",5,Doctoral Degree,Speaking; Active Listening; Learning Strategies; Reading Comprehension; Writing; Critical Thinking,Instructing; Judgment and Decision Making; Time Management; Complex Problem Solving; Coordination; Persuasion,Education and Training; English Language; Computers and Electronics; Psychology; Biology; Customer and Personal Service,Oral Expression; Oral Comprehension; Speech Clarity; Written Comprehension; Written Expression; Deductive Reasoning,Facebook; Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft Word,Learning management system LMS,Social; Investigative; First Interest High-Point,Social Science; Professional Advising; Public Speaking; Teaching/Education; Mechanics/Electronics,"Initiate, facilitate, and moderate classroom discussions.; Prepare course materials, such as syllabi, homework assignments, and handouts.; Maintain student attendance records, grades, and other required records.; Evaluate and grade students' class work, assignments, and papers.; Prepare and deliver lectures to undergraduate or graduate students on topics such as anatomy, therapeutic recreation, and conditioning theory.",O*NET
25-1194.00,"Career/Technical Education Teachers, Postsecondary",3,Associate's Degree or other 2-year degree,Active Listening; Learning Strategies; Active Learning; Reading Comprehension; Speaking; Critical Thinking,Instructing; Complex Problem Solving; Judgment and Decision Making; Social Perceptiveness; Coordination; Negotiation,Education and Training; English Language; Mechanical; Customer and Personal Service; Mathematics; Administrative,Oral Comprehension; Oral Expression; Written Comprehension; Written Expression; Problem Sensitivity; Speech Clarity,Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,Microsoft Office software,Social; Investigative; First Interest High-Point,Professional Advising; Public Speaking; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Observe and evaluate students' work to determine progress, provide feedback, and make suggestions for improvement.; Present lectures and conduct discussions to increase students' knowledge and competence using visual aids, such as graphs, charts, videotapes, and slides.; Supervise and monitor students' use of tools and equipment.; Administer oral, written, or performance tests to measure progress and to evaluate training effectiveness.; Provide individualized instruction and tutorial or remedial instruction.",O*NET
25-2011.00,"Preschool Teachers, Except Special Education",3,High School Diploma or the equivalent (such as a GED),Speaking; Active Listening; Learning Strategies; Critical Thinking; Monitoring; Reading Comprehension,Instructing; Coordination; Social Perceptiveness; Service Orientation; Judgment and Decision Making; Complex Problem Solving,Education and Training; English Language; Public Safety and Security; Customer and Personal Service; Psychology; Administration and Management,Oral Comprehension; Oral Expression; Speech Clarity; Problem Sensitivity; Originality; Fluency of Ideas,Microsoft Excel; Microsoft Office software; Microsoft Word,,Social; First Interest High-Point; Artistic,Personal Service; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.; Provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play.; Establish and enforce rules for behavior and procedures for maintaining order.; Adapt teaching methods and instructional materials to meet students' varying needs and interests.; Serve meals and snacks in accordance with nutritional guidelines.",O*NET
25-2012.00,"Kindergarten Teachers, Except Special Education",4,Bachelor's Degree,Active Listening; Learning Strategies; Monitoring; Speaking; Reading Comprehension; Active Learning,Instructing; Social Perceptiveness; Coordination; Time Management; Service Orientation; Judgment and Decision Making,Education and Training; English Language; Psychology; Mathematics; Customer and Personal Service; Sociology and Anthropology,Oral Expression; Written Comprehension; Oral Comprehension; Problem Sensitivity; Speech Clarity; Written Expression,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Social; First Interest High-Point; Artistic,Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Establish and enforce rules for behavior and policies and procedures to maintain order among students.; Prepare children for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.; Instruct students individually and in groups, adapting teaching methods to meet students' varying needs and interests.; Teach basic skills, such as color, shape, number and letter recognition, personal hygiene, and social skills.; Demonstrate activities to children.",O*NET
25-2021.00,"Elementary School Teachers, Except Special Education",4,Bachelor's Degree,Learning Strategies; Speaking; Active Listening; Critical Thinking; Monitoring; Reading Comprehension,Instructing; Social Perceptiveness; Coordination; Service Orientation; Judgment and Decision Making; Time Management,English Language; Education and Training; Mathematics; Customer and Personal Service; Psychology; Therapy and Counseling,Oral Expression; Inductive Reasoning; Oral Comprehension; Problem Sensitivity; Speech Clarity; Speech Recognition,Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Word,,Social; First Interest High-Point; Artistic,Professional Advising; Public Speaking; Social Service; Teaching/Education; Mechanics/Electronics,"Instruct students individually and in groups, using teaching methods such as lectures, discussions, and demonstrations.; Establish and enforce rules for behavior and procedures for maintaining order among the students.; Guide and counsel students with adjustment or academic problems or with special academic interests.; Adapt teaching methods and instructional materials to meet students' varying needs and interests.; Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",O*NET
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4,Bachelor's Degree,Learning Strategies; Speaking; Active Listening; Active Learning; Monitoring; Reading Comprehension,Instructing; Social Perceptiveness; Coordination; Time Management; Complex Problem Solving; Judgment and Decision Making,Education and Training; English Language; Philosophy and Theology; Mathematics; Psychology; Computers and Electronics,Oral Expression; Information Ordering; Oral Comprehension; Problem Sensitivity; Speech Clarity; Written Comprehension,Apple macOS; Facebook; Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Word; Zoom,,Social; Artistic; First Interest High-Point,Public Speaking; Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics,"Prepare materials and classrooms for class activities.; Observe and evaluate students' performance, behavior, social development, and physical health.; Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.; Prepare, administer, and grade tests and assignments to evaluate students' progress.; Establish and enforce rules for behavior and procedures for maintaining order among students.",O*NET
25-2023.00,"Career/Technical Education Teachers, Middle School",4,Bachelor's Degree,Learning Strategies; Speaking; Active Listening; Critical Thinking; Monitoring; Reading Comprehension,Instructing; Social Perceptiveness; Judgment and Decision Making; Service Orientation; Coordination; Time Management,Education and Training; English Language; Computers and Electronics; Administrative; Customer and Personal Service; Psychology,Oral Expression; Deductive Reasoning; Near Vision; Oral Comprehension; Speech Clarity; Written Comprehension,Amazon DynamoDB; Amazon Elastic Compute Cloud EC2; Amazon Web Services AWS CloudFormation; Amazon Web Services AWS software; Ansible software; Apache Cassandra; Apache Hadoop; Apache Kafka; Apache Tomcat; Atlassian Confluence; Atlassian JIRA; Bash; C#; C++; Docker; Eclipse IDE; Elasticsearch; Extensible markup language XML; Git; GitHub; Go; Google Angular; Google Docs; Hypertext markup language HTML; JavaScript; JavaScript Object Notation JSON; Jenkins CI; jQuery; JUnit; Linux; Microsoft .NET Framework; Microsoft Access; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft PowerShell; Microsoft SQL Server; Microsoft Visio; Microsoft Visual Studio; Microsoft Windows; Microsoft Windows Server; Microsoft Word; MongoDB; MySQL; Node.js; NoSQL; Oracle Database; Oracle Java; Oracle PeopleSoft; Perl; PostgreSQL; Puppet; Python; React; Red Hat Enterprise Linux; Ruby; Salesforce software; SAP software; SAS; Scala; Selenium; Shell script; Splunk Enterprise; Spring Boot; Structured query language SQL; Tableau; UNIX,,Social; First Interest High-Point; Conventional,Public Speaking; Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.; Prepare materials and classrooms for class activities.; Establish and enforce rules for behavior and procedures for maintaining order among students.; Adapt teaching methods and instructional materials to meet students' varying needs and interests.; Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",O*NET
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4,Bachelor's Degree,Active Listening; Learning Strategies; Reading Comprehension; Speaking; Critical Thinking; Monitoring,Instructing; Social Perceptiveness; Coordination; Judgment and Decision Making; Complex Problem Solving; Time Management,Education and Training; English Language; Customer and Personal Service; Computers and Electronics; Psychology; Sociology and Anthropology,Oral Expression; Oral Comprehension; Speech Clarity; Speech Recognition; Written Comprehension; Written Expression,Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Word,,Social; First Interest High-Point; Artistic,Humanities; Professional Advising; Public Speaking; Social Service; Teaching/Education,"Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.; Establish and enforce rules for behavior and procedures for maintaining order among students.; Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.; Prepare materials and classrooms for class activities.; Adapt teaching methods and instructional materials to meet students' varying needs and interests.",O*NET
25-2032.00,"Career/Technical Education Teachers, Secondary School",4,Bachelor's Degree,Active Listening; Learning Strategies; Reading Comprehension; Speaking; Critical Thinking; Monitoring,Instructing; Social Perceptiveness; Coordination; Complex Problem Solving; Judgment and Decision Making; Service Orientation,Education and Training; English Language; Computers and Electronics; Customer and Personal Service; Public Safety and Security; Administration and Management,Oral Expression; Oral Comprehension; Speech Clarity; Written Comprehension; Inductive Reasoning; Problem Sensitivity,Autodesk AutoCAD Civil 3D; Google Docs; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Social; First Interest High-Point; Conventional,Public Speaking; Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.; Establish and enforce rules for behavior and procedures for maintaining order among students.; Prepare materials and classroom for class activities.; Observe and evaluate students' performance, behavior, social development, and physical health.; Instruct students in the knowledge and skills required in a specific occupation or occupational field, using a systematic plan of lectures, discussions, audio-visual presentations, and laboratory, shop, and field studies.",O*NET
25-2051.00,"Special Education Teachers, Preschool",4,Bachelor's Degree,Active Listening; Critical Thinking; Learning Strategies; Monitoring; Reading Comprehension; Speaking,Social Perceptiveness; Instructing; Service Orientation; Complex Problem Solving; Coordination; Judgment and Decision Making,Customer and Personal Service; Education and Training; English Language; Administration and Management; Psychology; Administrative,Deductive Reasoning; Oral Comprehension; Oral Expression; Problem Sensitivity; Speech Clarity; Written Comprehension,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Social; First Interest High-Point; Artistic,Professional Advising; Social Science; Social Service; Teaching/Education; Mechanics/Electronics,"Communicate nonverbally with children to provide them with comfort, encouragement, or positive reinforcement.; Develop or implement strategies to meet the needs of students with a variety of disabilities.; Maintain accurate and complete student records as required by laws, district policies, or administrative regulations.; Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.; Attend to children's basic needs by feeding them, dressing them, or changing their diapers.",O*NET
25-2055.00,"Special Education Teachers, Kindergarten",4,Bachelor's Degree,Speaking; Active Listening; Learning Strategies; Reading Comprehension; Active Learning; Critical Thinking,Instructing; Social Perceptiveness; Judgment and Decision Making; Service Orientation; Time Management; Complex Problem Solving,English Language; Education and Training; Psychology; Mathematics; Administrative; Therapy and Counseling,Oral Comprehension; Oral Expression; Written Comprehension; Speech Recognition; Written Expression; Speech Clarity,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Social; First Interest High-Point; Investigative,Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Instruct students with disabilities in academic subjects, using a variety of techniques, such as phonetics, multisensory learning, or repetition to reinforce learning and meet students' varying needs.; Prepare objectives, outlines, or other materials for courses of study, following curriculum guidelines or school or state requirements.; Develop or implement strategies to meet the needs of students with a variety of disabilities.; Maintain accurate and complete student records as required by laws, district policies, or administrative regulations.; Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.",O*NET
25-2056.00,"Special Education Teachers, Elementary School",4,Bachelor's Degree,Active Listening; Speaking; Learning Strategies; Reading Comprehension; Critical Thinking; Writing,Instructing; Social Perceptiveness; Judgment and Decision Making; Service Orientation; Complex Problem Solving; Coordination,Education and Training; English Language; Customer and Personal Service; Computers and Electronics; Mathematics; Administration and Management,Oral Expression; Oral Comprehension; Problem Sensitivity; Speech Clarity; Deductive Reasoning; Written Comprehension,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Social; First Interest High-Point; Investigative,Social Science; Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics,"Instruct students with disabilities in academic subjects, using a variety of techniques, such as phonetics, multisensory learning, or repetition to reinforce learning and meet students' varying needs.; Develop or implement strategies to meet the needs of students with a variety of disabilities.; Modify the general elementary education curriculum for students with disabilities.; Teach socially acceptable behavior, employing techniques such as behavior modification or positive reinforcement.; Maintain accurate and complete student records as required by laws, district policies, or administrative regulations.",O*NET
25-2057.00,"Special Education Teachers, Middle School",4,Bachelor's Degree,Learning Strategies; Active Learning; Active Listening; Critical Thinking; Monitoring; Reading Comprehension,Instructing; Service Orientation; Social Perceptiveness; Coordination; Judgment and Decision Making; Time Management,English Language; Education and Training; Mathematics; Administrative; Customer and Personal Service; Psychology,Deductive Reasoning; Inductive Reasoning; Oral Comprehension; Oral Expression; Problem Sensitivity; Speech Clarity,Apple macOS; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Word,,Social; First Interest High-Point; Artistic,Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Develop or write Individualized Education Programs (IEPs) for students.; Establish and enforce rules for behavior and policies and procedures to maintain order among students.; Develop and implement strategies to meet the needs of students with a variety of handicapping conditions.; Prepare materials and classrooms for class activities.; Instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, and food preparation.",O*NET
25-2058.00,"Special Education Teachers, Secondary School",4,Bachelor's Degree,Learning Strategies; Reading Comprehension; Speaking; Active Listening; Monitoring; Writing,Instructing; Coordination; Service Orientation; Social Perceptiveness; Complex Problem Solving; Time Management,Education and Training; English Language; Psychology; Customer and Personal Service; Therapy and Counseling; Administrative,Oral Expression; Problem Sensitivity; Speech Clarity; Deductive Reasoning; Inductive Reasoning; Oral Comprehension,Adobe Acrobat; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Facebook; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Word,Microsoft Excel; Microsoft Outlook,Social; First Interest High-Point; Investigative,Social Science; Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics,"Establish and enforce rules for behavior and policies and procedures to maintain order among students.; Maintain accurate and complete student records, and prepare reports on children and activities, as required by laws, district policies, and administrative regulations.; Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual educational plans (IEPs) for students' educational, physical, and social development.; Employ special educational strategies and techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, and memory.; Establish clear objectives for all lessons, units, and projects, and communicate those objectives to students.",O*NET
25-2059.01,Adapted Physical Education Specialists,4,Bachelor's Degree,Active Listening; Learning Strategies; Speaking; Active Learning; Monitoring; Reading Comprehension,Instructing; Social Perceptiveness; Service Orientation; Coordination; Judgment and Decision Making; Complex Problem Solving,Education and Training; Psychology; English Language; Administrative; Law and Government; Public Safety and Security,Near Vision; Oral Comprehension; Oral Expression; Speech Clarity; Speech Recognition; Written Comprehension,Facebook; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Social; Second Interest High-Point; Conventional,Athletics; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.; Provide students positive feedback to encourage them and help them develop an appreciation for physical education.; Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.; Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.; Write reports to summarize student performance, social growth, or physical development.",O*NET
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,Bachelor's Degree,Active Listening; Learning Strategies; Reading Comprehension; Speaking; Monitoring; Writing,Instructing; Social Perceptiveness; Judgment and Decision Making; Service Orientation; Time Management; Complex Problem Solving,English Language; Education and Training; Customer and Personal Service; Administrative; Administration and Management; Mathematics,Oral Expression; Written Comprehension; Written Expression; Oral Comprehension; Speech Clarity; Speech Recognition,Adobe Photoshop; Facebook; Google Workspace software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word; SAP software; Zoom,Microsoft Excel; Microsoft Office software,Social; First Interest High-Point; Artistic,Professional Advising; Public Speaking; Social Service; Teaching/Education; Mechanics/Electronics,"Observe and evaluate students' work to determine progress and make suggestions for improvement.; Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.; Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.; Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.; Prepare materials and classrooms for class activities.",O*NET
25-3021.00,Self-Enrichment Teachers,3,Post-Secondary Certificate,Speaking; Active Listening; Learning Strategies; Active Learning; Critical Thinking; Monitoring,Instructing; Social Perceptiveness; Coordination; Judgment and Decision Making; Service Orientation; Complex Problem Solving,Education and Training; Customer and Personal Service; English Language; Sociology and Anthropology; Computers and Electronics; Psychology,Oral Expression; Oral Comprehension; Speech Clarity; Speech Recognition; Deductive Reasoning; Information Ordering,Adobe Acrobat; Adobe Photoshop; Hypertext markup language HTML; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Microsoft Word,,Social; Artistic; First Interest High-Point,Social Service; Public Speaking; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.; Adapt teaching methods and instructional materials to meet students' varying needs and interests.; Prepare students for further development by encouraging them to explore learning opportunities and to persevere with challenging tasks.; Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.; Maintain accurate and complete student records as required by administrative policy.",O*NET
25-3031.00,"Substitute Teachers, Short-Term",4,Bachelor's Degree,Active Listening; Reading Comprehension; Speaking; Critical Thinking; Monitoring; Learning Strategies,Social Perceptiveness; Instructing; Time Management; Service Orientation; Complex Problem Solving; Coordination,English Language; Education and Training; Public Safety and Security; Customer and Personal Service; Computers and Electronics; Mathematics,Oral Comprehension; Oral Expression; Near Vision; Speech Clarity; Written Comprehension; Written Expression,Microsoft Excel; Microsoft Office software; Microsoft Outlook,,Social; Second Interest High-Point; First Interest High-Point,Public Speaking; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Answer students' questions.; Enforce school and class rules to maintain order in the classroom.; Follow lesson plans designed by absent teachers.; Take class attendance and maintain attendance records.; Provide students with disabilities with assistive devices, supportive technology, or assistance accessing facilities, such as restrooms.",O*NET
25-3041.00,Tutors,3,Bachelor's Degree,Reading Comprehension; Active Listening; Learning Strategies; Speaking; Critical Thinking; Active Learning,Instructing; Social Perceptiveness; Complex Problem Solving; Service Orientation; Judgment and Decision Making; Time Management,Customer and Personal Service; English Language; Education and Training; Mathematics; Computers and Electronics; Psychology,Oral Comprehension; Oral Expression; Speech Clarity; Written Comprehension; Written Expression; Speech Recognition,Facebook; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Microsoft Word; Zoom,,Social; First Interest High-Point; Conventional,Professional Advising; Social Service; Teaching/Education; Mechanics/Electronics; Construction/Woodwork,"Provide feedback to students, using positive reinforcement techniques to encourage, motivate, or build confidence in students.; Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.; Assess students' progress throughout tutoring sessions.; Teach students study skills, note-taking skills, and test-taking strategies.; Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",O*NET
25-4011.00,Archivists,5,Master's Degree,Reading Comprehension; Active Listening; Writing; Speaking; Active Learning; Critical Thinking,Complex Problem Solving; Judgment and Decision Making; Service Orientation; Coordination; Instructing; Systems Analysis,History and Archeology; English Language; Customer and Personal Service; Computers and Electronics; Administration and Management; Administrative,Category Flexibility; Written Comprehension; Information Ordering; Near Vision; Oral Expression; Written Expression,Adobe Acrobat; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Extensible markup language XML; Hypertext markup language HTML; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,Archivists' Toolkit; Microsoft Excel; Microsoft Office software; Microsoft Outlook,First Interest High-Point; Conventional; Investigative,Office Work; Humanities; Mechanics/Electronics; Construction/Woodwork; Transportation/Machine Operation,"Organize archival records and develop classification systems to facilitate access to archival materials.; Provide reference services and assistance for users needing archival materials.; Prepare archival records, such as document descriptions, to allow easy access to information.; Create and maintain accessible, retrievable computer archives and databases, incorporating current advances in electronic information storage technology.; Establish and administer policy guidelines concerning public access and use of materials.",O*NET
25-4012.00,Curators,5,Master's Degree,Reading Comprehension; Speaking; Active Listening; Writing; Critical Thinking; Active Learning,Complex Problem Solving; Judgment and Decision Making; Systems Analysis; Social Perceptiveness; Systems Evaluation; Coordination,English Language; History and Archeology; Fine Arts; Administration and Management; Sociology and Anthropology; Communications and Media,Oral Comprehension; Oral Expression; Written Comprehension; Deductive Reasoning; Near Vision; Written Expression,Adobe Acrobat; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Apple macOS; Autodesk AutoCAD; Extensible markup language XML; Facebook; Linux; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Visual Studio; Microsoft Word; Perl; Python; R; SAS,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint,First Interest High-Point; Conventional; Second Interest High-Point,Public Speaking; Management/Administration; Humanities; Mechanics/Electronics; Construction/Woodwork,"Plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs, and develop or install exhibit materials.; Develop and maintain an institution's registration, cataloging, and basic record-keeping systems, using computer databases.; Plan and conduct special research projects in area of interest or expertise.; Provide information from the institution's holdings to other curators and to the public.; Negotiate and authorize purchase, sale, exchange, or loan of collections.",O*NET
25-4013.00,Museum Technicians and Conservators,5,Master's Degree,Reading Comprehension; Active Listening; Speaking; Critical Thinking; Monitoring; Writing,Complex Problem Solving; Judgment and Decision Making; Coordination; Instructing; Social Perceptiveness; Time Management,Chemistry; Fine Arts; History and Archeology; English Language; Education and Training; Administrative,Near Vision; Oral Comprehension; Oral Expression; Written Comprehension; Information Ordering; Written Expression,Adobe Acrobat; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Autodesk AutoCAD; Microsoft Active Server Pages ASP; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Second Interest High-Point; Realistic; Conventional,Physical/Manual Labor; Humanities; Mechanics/Electronics; Construction/Woodwork; Transportation/Machine Operation,"Determine whether objects need repair and choose the safest and most effective method of repair.; Specialize in particular materials or types of object, such as documents and books, paintings, decorative arts, textiles, metals, or architectural materials.; Recommend preservation procedures, such as control of temperature and humidity, to curatorial and building staff.; Install, arrange, assemble, and prepare artifacts for exhibition, ensuring the artifacts' safety, reporting their status and condition, and identifying and correcting any problems with the set up.; Study object documentation or conduct standard chemical and physical tests to ascertain the object's age, composition, original appearance, need for treatment or restoration, and appropriate preservation method.",O*NET
25-4022.00,Librarians and Media Collections Specialists,5,Master's Degree,Reading Comprehension; Active Listening; Speaking; Critical Thinking; Writing; Monitoring,Service Orientation; Judgment and Decision Making; Social Perceptiveness; Instructing; Complex Problem Solving; Coordination,English Language; Customer and Personal Service; Education and Training; Computers and Electronics; Administration and Management; Administrative,Information Ordering; Oral Comprehension; Oral Expression; Written Comprehension; Near Vision; Category Flexibility,Adobe Acrobat; Adobe After Effects; Adobe Creative Cloud software; Adobe Illustrator; Adobe InDesign; Adobe Photoshop; Autodesk AutoCAD; Cascading style sheets CSS; Extensible markup language XML; Facebook; Google Workspace software; Hypertext markup language HTML; JavaScript; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft SharePoint; Microsoft Visio; Microsoft Windows; Microsoft Word; Oracle Java; PHP; Structured query language SQL; Zoom,Microsoft Excel; Microsoft Office software; Springshare LibGuides,First Interest High-Point; Conventional; Social,Humanities; Teaching/Education; Office Work; Mechanics/Electronics; Construction/Woodwork,"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.; Analyze patrons' requests to determine needed information and assist in furnishing or locating that information.; Supervise daily library operations, budgeting, planning, and personnel activities, such as hiring, training, scheduling, and performance evaluations.; Plan and teach classes on topics such as information literacy, library instruction, and technology use.; Confer with colleagues, faculty, and community members and organizations to conduct informational programs, make collection decisions, and determine library services to offer.",O*NET
